Žurnāls: ppo_trader_Risk Control Mode_XRP.log

Ierīce: cpu  |  AMP: False
Eksperiments: Risk Control Mode

============================================================
1. SOLIS: Datu ielāde
============================================================
Visa datu kopa : 772,455 sveces  |  2019-01-05 05:00:00 → 2026-05-13 04:50:00
Izmantojam     : 331,053 sveces  |  2023-03-20 15:45:00 → 2026-05-13 04:50:00
Apmācība (~2g) : 0..220,702  (2023-03-20 15:45:00 → 2025-04-25 00:55:00)
Tests  (~1g)   : 220,702..331,053  (2025-04-25 01:00:00 → 2026-05-13 04:50:00)
Pazīmes (tirgus): 32
N_STATE_FEATURES=34

Slipāžas rindu priekšaprēķins...

============================================================
7. SOLIS: Modelis
============================================================
Parametri: 62,853  |  INPUT_DIM=34
Arhitektūra: D_MODEL=64, N_HEADS=2, N_LAYERS=1, SEQ_LEN=32

============================================================
10. SOLIS: Apmācība (PPO)
============================================================
Kopējie soļi: 75,000  |  N_ENVS: 4  |  ROLLOUT_STEPS: 128
Bufera izmērs vienam atjauninājumam: 512 pārejas
PPO epohi: 2  |  Mini-pakete: 128
Labvēlības periods: 12 sveces  |  Atvēršanas sods: 0.000898  |  Min darījums: 72 sveces  |  Īsa darījuma sods: 0.000898
Kontrolpunkti: checkpoints_Risk Control Mode_XRP/  (ik pēc 29 atjauninājumiem)

────────────────────────────────────────────────────────────────────────────────
     Solis   Upd  Rew(avg10)       pi       v    ent   clip%      ev        lr  Darbības(H/L/S/C)
    43,520    85    -0.00352  +0.0000  0.0026  0.005↓    0.0%  -2.545  1.12e-04  100.0%/ 0.0%/ 0.0%/ 0.0%
    44,032    86    -0.00341  +0.0000  0.0032  0.005↓    0.0%  -4.649  1.09e-04  100.0%/ 0.0%/ 0.0%/ 0.0%
    44,544    87    -0.00341  +0.0000  0.0043  0.005↓    0.0%  -1.892  1.06e-04  100.0%/ 0.0%/ 0.0%/ 0.0%
  ✓ Kontrolpunkts: checkpoints_Risk Control Mode_XRP\ckpt_step0044544.pth  [59% apmācības]
    45,056    88    -0.00341  +0.0000  0.0029  0.005↓    0.0%  -5.719  1.03e-04  100.0%/ 0.0%/ 0.0%/ 0.0%
    45,568    89    -0.00341  +0.0000  0.0026  0.005↓    0.0%  -2.195  1.00e-04  100.0%/ 0.0%/ 0.0%/ 0.0%
    46,080    90    -0.00330  +0.0000  0.0023  0.005↓    0.0%  -7.008  9.70e-05  100.0%/ 0.0%/ 0.0%/ 0.0%
    46,592    91    -0.00352  -0.0000  0.0203  0.012↓    0.0%  -0.037  9.40e-05  99.6%/ 0.0%/ 0.2%/ 0.2%
    47,104    92    -0.00323  +0.0000  0.0027  0.005↓    0.0%  -7.020  9.11e-05  100.0%/ 0.0%/ 0.0%/ 0.0%
    47,616    93    -0.00323  +0.0000  0.0025  0.005↓    0.0%  -2.235  8.81e-05  100.0%/ 0.0%/ 0.0%/ 0.0%
    48,128    94    -0.00323  +0.0000  0.0024  0.005↓    0.0%  -1.416  8.52e-05  100.0%/ 0.0%/ 0.0%/ 0.0%
    48,640    95    -0.00323  +0.0000  0.0023  0.005↓    0.0%  -4.393  8.23e-05  100.0%/ 0.0%/ 0.0%/ 0.0%
    49,152    96    -0.00323  +0.0000  0.0027  0.005↓    0.0%  -1.664  7.95e-05  100.0%/ 0.0%/ 0.0%/ 0.0%
    49,664    97    -0.00323  +0.0000  0.0026  0.005↓    0.0%  -2.797  7.67e-05  100.0%/ 0.0%/ 0.0%/ 0.0%
    50,176    98    -0.00323  +0.0000  0.0026  0.005↓    0.0%  -1.924  7.39e-05  100.0%/ 0.0%/ 0.0%/ 0.0%
    50,688    99    -0.00338  -0.0001  0.0114  0.009↓    0.0%  -0.517  7.12e-05  99.6%/ 0.0%/ 0.2%/ 0.2%
    51,200   100    -0.00338  +0.0000  0.0019  0.005↓    0.0%  -15.349  6.84e-05  100.0%/ 0.0%/ 0.0%/ 0.0%
    51,712   101    -0.00315  +0.0000  0.0020  0.005↓    0.0%  -1.981  6.58e-05  100.0%/ 0.0%/ 0.0%/ 0.0%
    52,224   102    -0.00315  +0.0000  0.0018  0.005↓    0.0%  -4.483  6.31e-05  100.0%/ 0.0%/ 0.0%/ 0.0%
    52,736   103    -0.00315  +0.0000  0.0019  0.005↓    0.0%  -6.055  6.06e-05  100.0%/ 0.0%/ 0.0%/ 0.0%
    53,248   104    -0.00326  -0.0002  0.0067  0.008↓    0.0%  -0.123  5.80e-05  99.6%/ 0.2%/ 0.0%/ 0.2%
    53,760   105    -0.00333  -0.0004  0.0039  0.006↓    0.0%  -0.645  5.55e-05  99.6%/ 0.0%/ 0.2%/ 0.2%
    54,272   106    -0.00333  +0.0000  0.0018  0.005↓    0.0%  -9.218  5.30e-05  100.0%/ 0.0%/ 0.0%/ 0.0%
    54,784   107    -0.00333  +0.0000  0.0019  0.005↓    0.0%  -4.252  5.06e-05  100.0%/ 0.0%/ 0.0%/ 0.0%
    55,296   108    -0.00351  -0.0003  0.0082  0.009↓    0.0%  -0.112  4.83e-05  99.2%/ 0.2%/ 0.2%/ 0.4%
    55,808   109    -0.00336  +0.0000  0.0018  0.004↓    0.0%  -3.034  4.59e-05  100.0%/ 0.0%/ 0.0%/ 0.0%
    56,320   110    -0.00336  +0.0000  0.0018  0.004↓    0.0%  -5.580  4.37e-05  100.0%/ 0.0%/ 0.0%/ 0.0%
    56,832   111    -0.00336  +0.0000  0.0015  0.004↓    0.0%  -1.288  4.14e-05  100.0%/ 0.0%/ 0.0%/ 0.0%
    57,344   112    -0.00336  +0.0000  0.0016  0.004↓    0.0%  -7.861  3.93e-05  100.0%/ 0.0%/ 0.0%/ 0.0%
    57,856   113    -0.00336  +0.0000  0.0017  0.004↓    0.0%  -3.281  3.71e-05  100.0%/ 0.0%/ 0.0%/ 0.0%
    58,368   114    -0.00325  +0.0000  0.0017  0.004↓    0.0%  -5.424  3.51e-05  100.0%/ 0.0%/ 0.0%/ 0.0%
    58,880   115    -0.00318  +0.0000  0.0016  0.004↓    0.0%  -10.231  3.30e-05  100.0%/ 0.0%/ 0.0%/ 0.0%
    59,392   116    -0.00318  +0.0000  0.0018  0.004↓    0.0%  -2.024  3.11e-05  100.0%/ 0.0%/ 0.0%/ 0.0%
  ✓ Kontrolpunkts: checkpoints_Risk Control Mode_XRP\ckpt_step0059392.pth  [79% apmācības]
    59,904   117    -0.00318  +0.0000  0.0017  0.004↓    0.0%  -3.786  2.92e-05  100.0%/ 0.0%/ 0.0%/ 0.0%
    60,416   118    -0.00300  +0.0000  0.0015  0.004↓    0.0%  -4.601  2.73e-05  100.0%/ 0.0%/ 0.0%/ 0.0%
