Žurnāls: ppo_trader_Realistic Mode, OP - 0.004 (Conservative)_LTC.log

Ierīce: cpu  |  AMP: False
Eksperiments: OP - 0.004 (Conservative)

============================================================
1. SOLIS: Datu ielāde
============================================================
Visa datu kopa : 772,457 sveces  |  2019-01-05 05:00:00 → 2026-05-13 05:00:00
Izmantojam     : 331,053 sveces  |  2023-03-20 15:55:00 → 2026-05-13 05:00:00
Apmācība (~2g) : 0..220,702  (2023-03-20 15:55:00 → 2025-04-25 01:05:00)
Tests  (~1g)   : 220,702..331,053  (2025-04-25 01:10:00 → 2026-05-13 05:00:00)
Pazīmes (tirgus): 32
N_STATE_FEATURES=34

Slipāžas rindu priekšaprēķins...

============================================================
7. SOLIS: Modelis
============================================================
Parametri: 62,853  |  INPUT_DIM=34
Arhitektūra: D_MODEL=64, N_HEADS=2, N_LAYERS=1, SEQ_LEN=32

============================================================
10. SOLIS: Apmācība (PPO)
============================================================
Kopējie soļi: 75,000  |  N_ENVS: 4  |  ROLLOUT_STEPS: 128
Bufera izmērs vienam atjauninājumam: 512 pārejas
PPO epohi: 2  |  Mini-pakete: 128
Labvēlības periods: 12 sveces  |  Atvēršanas sods: 0.004  |  Min darījums: 72 sveces  |  Īsa darījuma sods: 0.004
Kontrolpunkti: checkpoints_Realistic Mode, OP - 0.004 (Conservative)_LTC/  (ik pēc 29 atjauninājumiem)

────────────────────────────────────────────────────────────────────────────────
     Solis   Upd  Rew(avg10)       pi       v    ent   clip%      ev        lr  Darbības(H/L/S/C)
    24,064    47    -0.00307  +0.0003  0.0012  1.238↓    0.0%  -1.064  2.30e-04  38.1%/36.5%/13.1%/12.3%
    24,576    48    -0.00297  -0.0014  0.0013  1.226↓    0.0%  -1.121  2.27e-04  39.8%/35.4%/11.1%/13.7%
    25,088    49    -0.00293  -0.0022  0.0016  1.244↓    0.0%  -0.135  2.24e-04  39.1%/34.0%/14.6%/12.3%
    25,600    50    -0.00296  -0.0038  0.0020  1.229↓    0.0%  -0.471  2.22e-04  34.6%/35.2%/14.1%/16.2%
    26,112    51    -0.00295  -0.0014  0.0022  1.225↓    0.0%  +0.325  2.19e-04  38.3%/35.5%/12.5%/13.7%
    26,624    52    -0.00320  +0.0007  0.0205  1.211↓    0.0%  -0.068  2.16e-04  37.9%/38.9%/10.4%/12.9%
    27,136    53    -0.00323  -0.0025  0.0061  1.233↓    0.0%  +0.430  2.13e-04  35.5%/36.9%/13.7%/13.9%
    27,648    54    -0.00331  -0.0011  0.0023  1.190↓    0.0%  -0.297  2.10e-04  34.4%/42.4%/ 9.6%/13.7%
    28,160    55    -0.00326  -0.0018  0.0018  1.173↓    0.1%  -0.530  2.07e-04  41.0%/37.3%/ 9.4%/12.3%
    28,672    56    -0.00329  -0.0007  0.0019  1.162↓    0.0%  -1.237  2.04e-04  40.0%/39.5%/ 7.6%/12.9%
    29,184    57    -0.00326  -0.0014  0.0011  1.146↓    0.0%  -0.232  2.01e-04  37.1%/42.4%/ 7.6%/12.9%
    29,696    58    -0.00318  -0.0016  0.0010  1.154↓    0.0%  -1.056  1.98e-04  37.9%/40.6%/10.5%/10.9%
  ✓ Kontrolpunkts: checkpoints_Realistic Mode, OP - 0.004 (Conservative)_LTC\ckpt_step0029696.pth  [40% apmācības]
    30,208    59    -0.00307  -0.0015  0.0016  1.148↓    0.0%  -0.464  1.95e-04  38.5%/43.4%/ 8.0%/10.2%
    30,720    60    -0.00293  -0.0016  0.0018  1.143↓    0.1%  -1.141  1.92e-04  39.6%/40.0%/ 9.8%/10.5%
    31,232    61    -0.00281  -0.0015  0.0012  1.107↓    0.1%  -0.392  1.89e-04  46.1%/36.1%/ 7.0%/10.7%
    31,744    62    -0.00239  -0.0017  0.0015  1.084↓    0.0%  -1.124  1.86e-04  44.5%/40.2%/ 6.6%/ 8.6%
    32,256    63    -0.00240  +0.0007  0.0023  1.079↓    0.0%  -0.115  1.82e-04  49.4%/35.7%/ 5.7%/ 9.2%
    32,768    64    -0.00230  -0.0005  0.0020  1.067↓    0.0%  -0.997  1.79e-04  45.3%/38.5%/ 7.4%/ 8.8%
    33,280    65    -0.00229  -0.0012  0.0027  1.066↓    0.3%  -0.161  1.76e-04  47.5%/37.3%/ 7.2%/ 8.0%
    33,792    66    -0.00219  -0.0014  0.0016  1.067↓    0.0%  -0.233  1.73e-04  42.8%/44.7%/ 5.7%/ 6.8%
    34,304    67    -0.00218  -0.0007  0.0013  1.064↓    0.5%  -0.486  1.70e-04  43.6%/41.4%/ 5.7%/ 9.4%
    34,816    68    -0.00218  -0.0008  0.0014  1.060↓    0.2%  -0.574  1.67e-04  40.6%/45.3%/ 6.6%/ 7.4%
    35,328    69    -0.00222  +0.0007  0.0017  1.052↓    0.1%  +0.302  1.63e-04  48.6%/37.7%/ 6.4%/ 7.2%
    35,840    70    -0.00223  +0.0004  0.0015  1.051↓    0.2%  -0.393  1.60e-04  41.6%/43.2%/ 5.9%/ 9.4%
    36,352    71    -0.00221  -0.0006  0.0022  1.057↓    0.0%  +0.071  1.57e-04  41.2%/48.6%/ 5.1%/ 5.1%
    36,864    72    -0.00226  -0.0008  0.0015  1.044↓    0.2%  -0.313  1.54e-04  41.4%/45.7%/ 5.5%/ 7.4%
    37,376    73    -0.00202  -0.0014  0.0022  1.034↓    0.0%  +0.494  1.50e-04  46.7%/42.6%/ 3.5%/ 7.2%
    37,888    74    -0.00185  -0.0016  0.0027  1.052↓    0.6%  +0.000  1.47e-04  46.1%/41.2%/ 5.1%/ 7.6%
    38,400    75    -0.00179  -0.0005  0.0025  1.046↓    0.6%  +0.270  1.44e-04  47.9%/38.9%/ 5.5%/ 7.8%
    38,912    76    -0.00177  -0.0014  0.0020  1.026↓    0.5%  -1.502  1.41e-04  47.1%/40.2%/ 5.5%/ 7.2%
    39,424    77    -0.00180  +0.0011  0.0024  1.020↓    0.1%  -0.165  1.38e-04  51.6%/38.5%/ 4.1%/ 5.9%
    39,936    78    -0.00179  -0.0011  0.0014  1.001↓    0.1%  -0.391  1.34e-04  51.8%/40.2%/ 3.7%/ 4.3%
    40,448    79    -0.00168  -0.0037  0.0030  1.022↓    0.4%  -0.319  1.31e-04  47.9%/38.9%/ 6.1%/ 7.2%
    40,960    80    -0.00153  -0.0006  0.0013  0.979↓    0.0%  -0.999  1.28e-04  51.6%/36.9%/ 4.7%/ 6.8%
    41,472    81    -0.00159  -0.0014  0.0029  0.989↓    0.4%  +0.089  1.25e-04  54.5%/33.8%/ 4.1%/ 7.6%
    41,984    82    -0.00151  +0.0003  0.0010  0.944↓    0.1%  +0.125  1.22e-04  58.8%/32.2%/ 2.7%/ 6.2%
    42,496    83    -0.00150  -0.0004  0.0017  0.970↓    0.5%  -0.298  1.19e-04  55.1%/34.0%/ 3.3%/ 7.6%
    43,008    84    -0.00165  -0.0006  0.0019  0.979↓    0.1%  +0.085  1.15e-04  50.4%/41.4%/ 2.3%/ 5.9%
    43,520    85    -0.00173  +0.0001  0.0018  0.966↓    0.0%  +0.472  1.12e-04  52.5%/37.5%/ 2.5%/ 7.4%
    44,032    86    -0.00170  -0.0020  0.0026  0.972↓    0.1%  +0.194  1.09e-04  54.5%/37.1%/ 2.0%/ 6.4%
    44,544    87    -0.00160  +0.0008  0.0090  1.000↓    0.1%  +0.293  1.06e-04  52.1%/37.9%/ 4.7%/ 5.3%
  ✓ Kontrolpunkts: checkpoints_Realistic Mode, OP - 0.004 (Conservative)_LTC\ckpt_step0044544.pth  [59% apmācības]
    45,056    88    -0.00157  +0.0001  0.0023  0.981↓    0.2%  -0.185  1.03e-04  51.4%/38.3%/ 3.7%/ 6.6%
    45,568    89    -0.00155  -0.0002  0.0023  0.954↓    0.0%  -0.208  1.00e-04  53.1%/37.3%/ 2.9%/ 6.6%
    46,080    90    -0.00140  +0.0001  0.0086  0.968↓    0.0%  -0.524  9.70e-05  52.7%/38.3%/ 2.9%/ 6.1%
    46,592    91    -0.00128  -0.0005  0.0024  0.961↓    0.2%  +0.139  9.40e-05  53.9%/35.5%/ 3.3%/ 7.2%
    47,104    92    -0.00132  +0.0005  0.0031  0.966↓    0.2%  +0.184  9.11e-05  52.7%/39.1%/ 2.3%/ 5.9%
    47,616    93    -0.00140  +0.0000  0.0016  0.953↓    0.0%  -0.399  8.81e-05  52.0%/37.9%/ 3.5%/ 6.6%
    48,128    94    -0.00131  -0.0013  0.0014  0.958↓    0.0%  +0.058  8.52e-05  51.6%/39.3%/ 3.5%/ 5.7%
