Žurnāls: ppo_trader_Realistic Mode, OP - 0.0008 (Active)_XRP.log

Ierīce: cpu  |  AMP: False
Eksperiments: OP - 0.0008 (Active)

============================================================
1. SOLIS: Datu ielāde
============================================================
Visa datu kopa : 772,455 sveces  |  2019-01-05 05:00:00 → 2026-05-13 04:50:00
Izmantojam     : 331,053 sveces  |  2023-03-20 15:45:00 → 2026-05-13 04:50:00
Apmācība (~2g) : 0..220,702  (2023-03-20 15:45:00 → 2025-04-25 00:55:00)
Tests  (~1g)   : 220,702..331,053  (2025-04-25 01:00:00 → 2026-05-13 04:50:00)
Pazīmes (tirgus): 32
N_STATE_FEATURES=34

Slipāžas rindu priekšaprēķins...

============================================================
7. SOLIS: Modelis
============================================================
Parametri: 62,853  |  INPUT_DIM=34
Arhitektūra: D_MODEL=64, N_HEADS=2, N_LAYERS=1, SEQ_LEN=32

============================================================
10. SOLIS: Apmācība (PPO)
============================================================
Kopējie soļi: 75,000  |  N_ENVS: 4  |  ROLLOUT_STEPS: 128
Bufera izmērs vienam atjauninājumam: 512 pārejas
PPO epohi: 2  |  Mini-pakete: 128
Labvēlības periods: 12 sveces  |  Atvēršanas sods: 0.0008  |  Min darījums: 72 sveces  |  Īsa darījuma sods: 0.0008
Kontrolpunkti: checkpoints_Realistic Mode, OP - 0.0008 (Active)_XRP/  (ik pēc 29 atjauninājumiem)

────────────────────────────────────────────────────────────────────────────────
     Solis   Upd  Rew(avg10)       pi       v    ent   clip%      ev        lr  Darbības(H/L/S/C)
    24,064    47    -0.00177  -0.0002  0.0014  1.288↓    0.0%  -0.062  2.30e-04  31.6%/24.0%/27.7%/16.6%
    24,576    48    -0.00175  -0.0002  0.0015  1.282↓    0.0%  -1.261  2.27e-04  35.7%/26.8%/20.9%/16.6%
    25,088    49    -0.00176  -0.0013  0.0016  1.294↓    0.0%  +0.130  2.24e-04  29.1%/26.8%/26.8%/17.4%
    25,600    50    -0.00179  -0.0004  0.0018  1.283↓    0.0%  -1.055  2.22e-04  31.2%/23.2%/27.1%/18.4%
    26,112    51    -0.00187  +0.0002  0.0020  1.296↓    0.0%  +0.122  2.19e-04  31.8%/26.4%/25.8%/16.0%
    26,624    52    -0.00180  -0.0002  0.0026  1.293↓    0.0%  -0.109  2.16e-04  34.8%/27.7%/22.1%/15.4%
    27,136    53    -0.00189  +0.0001  0.0027  1.302↓    0.0%  -0.153  2.13e-04  28.7%/27.1%/28.3%/15.8%
    27,648    54    -0.00197  -0.0016  0.0017  1.281↓    0.0%  -1.439  2.10e-04  30.9%/27.0%/23.8%/18.4%
    28,160    55    -0.00197  -0.0014  0.0016  1.272↓    0.0%  +0.254  2.07e-04  34.4%/24.0%/24.6%/17.0%
    28,672    56    -0.00203  -0.0012  0.0015  1.287↓    0.0%  +0.075  2.04e-04  29.7%/22.1%/29.5%/18.8%
    29,184    57    -0.00198  +0.0002  0.0011  1.271↓    0.0%  -0.659  2.01e-04  34.6%/26.8%/21.7%/17.0%
    29,696    58    -0.00203  +0.0003  0.0017  1.275↓    0.0%  -0.499  1.98e-04  29.7%/22.3%/29.5%/18.6%
  ✓ Kontrolpunkts: checkpoints_Realistic Mode, OP - 0.0008 (Active)_XRP\ckpt_step0029696.pth  [40% apmācības]
    30,208    59    -0.00203  -0.0010  0.0013  1.273↓    0.0%  +0.162  1.95e-04  32.2%/28.7%/21.7%/17.4%
    30,720    60    -0.00207  -0.0007  0.0019  1.287↓    0.0%  +0.310  1.92e-04  29.7%/25.6%/28.1%/16.6%
    31,232    61    -0.00204  -0.0004  0.0016  1.276↓    0.0%  -0.178  1.89e-04  37.1%/24.6%/21.9%/16.4%
    31,744    62    -0.00210  +0.0004  0.0014  1.276↓    0.0%  +0.712  1.86e-04  36.9%/25.0%/22.3%/15.8%
    32,256    63    -0.00204  +0.0002  0.0017  1.275↓    0.0%  +0.324  1.82e-04  35.7%/24.2%/23.8%/16.2%
    32,768    64    -0.00201  -0.0010  0.0016  1.279↓    0.0%  -0.327  1.79e-04  34.4%/28.9%/20.5%/16.2%
    33,280    65    -0.00202  -0.0008  0.0014  1.276↓    0.0%  +0.280  1.76e-04  37.7%/23.8%/23.4%/15.0%
    33,792    66    -0.00196  -0.0004  0.0014  1.270↓    0.0%  -0.129  1.73e-04  35.2%/32.0%/17.0%/15.8%
    34,304    67    -0.00198  -0.0014  0.0013  1.279↓    0.0%  -0.145  1.70e-04  36.3%/21.7%/25.6%/16.4%
    34,816    68    -0.00193  +0.0002  0.0012  1.280↓    0.0%  -0.563  1.67e-04  34.0%/28.3%/22.7%/15.0%
    35,328    69    -0.00199  +0.0001  0.0026  1.289↓    0.0%  -0.110  1.63e-04  36.9%/21.9%/26.0%/15.2%
    35,840    70    -0.00196  -0.0009  0.0015  1.255↓    0.0%  +0.253  1.60e-04  36.5%/24.6%/22.1%/16.8%
    36,352    71    -0.00188  -0.0016  0.0013  1.285↓    0.0%  +0.029  1.57e-04  38.1%/29.7%/18.6%/13.7%
