Žurnāls: ppo_trader_Realistic Mode, OP - 0.004 (Conservative)_ETH.log

Ierīce: cpu  |  AMP: False
Eksperiments: OP - 0.004 (Conservative)

============================================================
1. SOLIS: Datu ielāde
============================================================
Visa datu kopa : 772,429 sveces  |  2019-01-05 05:00:00 → 2026-05-13 02:40:00
Izmantojam     : 331,041 sveces  |  2023-03-20 14:35:00 → 2026-05-13 02:40:00
Apmācība (~2g) : 0..220,694  (2023-03-20 14:35:00 → 2025-04-24 23:05:00)
Tests  (~1g)   : 220,694..331,041  (2025-04-24 23:10:00 → 2026-05-13 02:40:00)
Pazīmes (tirgus): 32
N_STATE_FEATURES=34

Slipāžas rindu priekšaprēķins...

============================================================
7. SOLIS: Modelis
============================================================
Parametri: 62,853  |  INPUT_DIM=34
Arhitektūra: D_MODEL=64, N_HEADS=2, N_LAYERS=1, SEQ_LEN=32

============================================================
10. SOLIS: Apmācība (PPO)
============================================================
Kopējie soļi: 75,000  |  N_ENVS: 4  |  ROLLOUT_STEPS: 128
Bufera izmērs vienam atjauninājumam: 512 pārejas
PPO epohi: 2  |  Mini-pakete: 128
Labvēlības periods: 12 sveces  |  Atvēršanas sods: 0.004  |  Min darījums: 72 sveces  |  Īsa darījuma sods: 0.004
Kontrolpunkti: checkpoints_Realistic Mode, OP - 0.004 (Conservative)_ETH/  (ik pēc 29 atjauninājumiem)

────────────────────────────────────────────────────────────────────────────────
     Solis   Upd  Rew(avg10)       pi       v    ent   clip%      ev        lr  Darbības(H/L/S/C)
    32,256    63    -0.00187  -0.0007  0.0012  0.821↓    0.0%  +0.116  1.82e-04  73.6%/ 9.8%/10.2%/ 6.4%
    32,768    64    -0.00182  -0.0027  0.0018  0.982↓    0.4%  +0.518  1.79e-04  61.7%/15.6%/12.1%/10.5%
    33,280    65    -0.00179  -0.0033  0.0012  0.895↓    0.3%  -0.650  1.76e-04  68.9%/11.1%/12.1%/ 7.8%
    33,792    66    -0.00186  -0.0017  0.0012  0.842↓    0.1%  -0.136  1.73e-04  70.9%/10.9%/10.4%/ 7.8%
    34,304    67    -0.00180  -0.0015  0.0009  0.803↓    0.1%  -2.139  1.70e-04  72.3%/10.9%/10.2%/ 6.6%
    34,816    68    -0.00185  +0.0000  0.0010  0.806↓    0.0%  -1.030  1.67e-04  72.7%/ 9.2%/10.9%/ 7.2%
    35,328    69    -0.00179  -0.0007  0.0010  0.823↓    0.2%  -0.959  1.63e-04  74.8%/ 8.4%/10.9%/ 5.9%
    35,840    70    -0.00186  +0.0015  0.0022  0.930↓    0.7%  +0.543  1.60e-04  66.2%/11.7%/12.9%/ 9.2%
    36,352    71    -0.00191  -0.0024  0.0015  0.964↓    1.6%  +0.682  1.57e-04  64.8%/16.6%/10.9%/ 7.6%
    36,864    72    -0.00191  +0.0020  0.0013  0.889↓    0.0%  +0.433  1.54e-04  69.1%/12.5%/10.7%/ 7.6%
    37,376    73    -0.00191  -0.0025  0.0011  0.954↓    0.4%  +0.525  1.50e-04  67.4%/13.5%/10.4%/ 8.8%
    37,888    74    -0.00185  -0.0024  0.0012  0.900↓    0.0%  -1.075  1.47e-04  68.2%/13.3%/10.2%/ 8.4%
    38,400    75    -0.00189  +0.0002  0.0017  0.891↓    0.1%  -0.033  1.44e-04  71.1%/11.7%/10.0%/ 7.2%
    38,912    76    -0.00180  -0.0022  0.0014  0.866↓    0.0%  -1.063  1.41e-04  71.5%/10.9%/11.1%/ 6.4%
    39,424    77    -0.00179  +0.0018  0.0009  0.880↓    0.0%  -0.326  1.38e-04  71.1%/14.3%/ 8.6%/ 6.1%
    39,936    78    -0.00170  -0.0008  0.0008  0.873↓    0.0%  -1.262  1.34e-04  72.9%/12.5%/ 9.0%/ 5.7%
    40,448    79    -0.00179  -0.0006  0.0015  0.914↓    0.3%  +0.411  1.31e-04  66.6%/14.1%/10.7%/ 8.6%
    40,960    80    -0.00167  +0.0017  0.0011  0.935↓    0.1%  -0.198  1.28e-04  63.9%/14.1%/11.7%/10.4%
    41,472    81    -0.00161  +0.0013  0.0011  0.877↓    0.0%  -0.604  1.25e-04  70.5%/12.7%/ 8.6%/ 8.2%
    41,984    82    -0.00155  +0.0017  0.0009  0.865↓    0.2%  -0.984  1.22e-04  75.0%/ 8.6%/10.0%/ 6.4%
    42,496    83    -0.00154  +0.0012  0.0009  0.827↓    0.0%  -0.609  1.19e-04  70.9%/11.5%/10.0%/ 7.6%
    43,008    84    -0.00159  -0.0009  0.0012  0.930↓    0.4%  -0.186  1.15e-04  67.6%/14.5%/10.5%/ 7.4%
    43,520    85    -0.00160  -0.0016  0.0012  0.932↓    0.6%  -0.269  1.12e-04  68.8%/15.2%/ 8.8%/ 7.2%
    44,032    86    -0.00162  -0.0025  0.0010  0.952↓    0.1%  +0.415  1.09e-04  66.4%/14.5%/10.5%/ 8.6%
    44,544    87    -0.00184  +0.0003  0.0046  0.986↓    0.3%  -0.316  1.06e-04  61.9%/16.6%/12.5%/ 9.0%
  ✓ Kontrolpunkts: checkpoints_Realistic Mode, OP - 0.004 (Conservative)_ETH\ckpt_step0044544.pth  [59% apmācības]
