Žurnāls: ppo_trader_Clean Baseline_XRP.log

Ierīce: cpu  |  AMP: False
Eksperiments: Clean Baseline

============================================================
1. SOLIS: Datu ielāde
============================================================
Visa datu kopa : 772,455 sveces  |  2019-01-05 05:00:00 → 2026-05-13 04:50:00
Izmantojam     : 331,053 sveces  |  2023-03-20 15:45:00 → 2026-05-13 04:50:00
Apmācība (~2g) : 0..220,702  (2023-03-20 15:45:00 → 2025-04-25 00:55:00)
Tests  (~1g)   : 220,702..331,053  (2025-04-25 01:00:00 → 2026-05-13 04:50:00)
Pazīmes (tirgus): 32
N_STATE_FEATURES=34

Slipāžas rindu priekšaprēķins...

============================================================
7. SOLIS: Modelis
============================================================
Parametri: 62,853  |  INPUT_DIM=34
Arhitektūra: D_MODEL=64, N_HEADS=2, N_LAYERS=1, SEQ_LEN=32

============================================================
10. SOLIS: Apmācība (PPO)
============================================================
Kopējie soļi: 75,000  |  N_ENVS: 4  |  ROLLOUT_STEPS: 128
Bufera izmērs vienam atjauninājumam: 512 pārejas
PPO epohi: 2  |  Mini-pakete: 128
Režīms: Clean Baseline  —  visi reward shaping sodi atslēgti
Apmācība: tīrs PnL signāls (log-atgriešanās), bez OPEN_PENALTY, SHORT_TRADE_PEN, HOLD_PENALTY
Kontrolpunkti: checkpoints_Clean Baseline_XRP/  (ik pēc 29 atjauninājumiem)

────────────────────────────────────────────────────────────────────────────────
     Solis   Upd  Rew(avg10)       pi       v    ent   clip%      ev        lr  Darbības(H/L/S/C)
    28,672    56    -0.00171  -0.0012  0.0015  1.291↓    0.0%  +0.033  2.04e-04  28.5%/22.7%/29.9%/18.9%
    29,184    57    -0.00166  -0.0004  0.0010  1.279↓    0.0%  -0.450  2.01e-04  33.4%/27.9%/21.7%/17.0%
    29,696    58    -0.00171  +0.0008  0.0017  1.280↓    0.0%  -0.110  1.98e-04  28.3%/21.7%/30.5%/19.5%
  ✓ Kontrolpunkts: checkpoints_Clean Baseline_XRP\ckpt_step0029696.pth  [40% apmācības]
    30,208    59    -0.00172  -0.0007  0.0014  1.279↓    0.0%  +0.357  1.95e-04  30.3%/29.5%/22.1%/18.2%
    30,720    60    -0.00177  -0.0004  0.0019  1.290↓    0.0%  +0.355  1.92e-04  25.8%/27.1%/28.9%/18.2%
    31,232    61    -0.00174  -0.0007  0.0017  1.287↓    0.0%  -0.087  1.89e-04  35.7%/24.2%/23.6%/16.4%
    31,744    62    -0.00177  -0.0006  0.0014  1.294↓    0.0%  +0.680  1.86e-04  33.2%/26.0%/23.8%/17.0%
    32,256    63    -0.00174  +0.0006  0.0014  1.286↓    0.0%  +0.463  1.82e-04  34.2%/24.2%/25.0%/16.6%
    32,768    64    -0.00168  -0.0013  0.0014  1.287↓    0.0%  -0.729  1.79e-04  30.7%/28.7%/22.9%/17.8%
    33,280    65    -0.00169  +0.0001  0.0012  1.288↓    0.0%  +0.194  1.76e-04  34.4%/23.0%/27.0%/15.6%
    33,792    66    -0.00164  -0.0001  0.0013  1.286↓    0.0%  -0.321  1.73e-04  32.6%/31.6%/19.1%/16.6%
    34,304    67    -0.00166  -0.0001  0.0012  1.294↓    0.0%  -0.091  1.70e-04  33.2%/22.1%/27.3%/17.4%
    34,816    68    -0.00161  -0.0007  0.0011  1.298↓    0.0%  -0.350  1.67e-04  30.3%/29.7%/24.4%/15.6%
    35,328    69    -0.00168  +0.0001  0.0024  1.302↓    0.0%  +0.014  1.63e-04  33.4%/22.3%/27.9%/16.4%
    35,840    70    -0.00168  -0.0007  0.0020  1.279↓    0.0%  +0.430  1.60e-04  32.8%/25.8%/24.0%/17.4%
    36,352    71    -0.00158  -0.0022  0.0011  1.300↓    0.0%  +0.024  1.57e-04  33.6%/31.1%/20.9%/14.5%
    36,864    72    -0.00155  -0.0008  0.0010  1.279↓    0.0%  -1.448  1.54e-04  31.4%/24.4%/24.8%/19.3%
    37,376    73    -0.00147  -0.0009  0.0013  1.280↓    0.0%  +0.405  1.50e-04  33.4%/24.6%/24.8%/17.2%
    37,888    74    -0.00137  -0.0004  0.0011  1.282↓    0.0%  -0.377  1.47e-04  34.2%/23.4%/27.1%/15.2%
    38,400    75    -0.00128  -0.0015  0.0011  1.274↓    0.0%  -1.103  1.44e-04  36.5%/23.6%/24.0%/15.8%
    38,912    76    -0.00127  -0.0005  0.0011  1.290↓    0.0%  -1.410  1.41e-04  29.5%/22.3%/31.4%/16.8%
    39,424    77    -0.00117  -0.0005  0.0010  1.269↓    0.0%  -4.574  1.38e-04  36.9%/24.0%/22.9%/16.2%
    39,936    78    -0.00111  -0.0029  0.0009  1.287↓    0.0%  -5.200  1.34e-04  30.1%/22.7%/31.1%/16.2%
    40,448    79    -0.00125  +0.0002  0.0163  1.274↓    0.0%  +0.007  1.31e-04  33.4%/23.2%/25.2%/18.2%
    40,960    80    -0.00107  -0.0017  0.0023  1.280↓    0.0%  +0.360  1.28e-04  36.5%/21.1%/25.6%/16.8%
    41,472    81    -0.00104  +0.0009  0.0018  1.271↓    0.0%  -0.009  1.25e-04  35.0%/23.6%/23.8%/17.6%
    41,984    82    -0.00100  -0.0011  0.0012  1.254↓    0.0%  -3.212  1.22e-04  40.6%/19.9%/23.0%/16.4%
    42,496    83    -0.00095  +0.0010  0.0012  1.277↓    0.0%  +0.335  1.19e-04  33.2%/20.5%/28.5%/17.8%
    43,008    84    -0.00096  +0.0003  0.0009  1.262↓    0.0%  -0.539  1.15e-04  34.0%/27.7%/21.5%/16.8%
    43,520    85    -0.00094  +0.0008  0.0013  1.289↓    0.0%  -0.293  1.12e-04  31.1%/23.6%/28.1%/17.2%
    44,032    86    -0.00090  +0.0003  0.0010  1.258↓    0.0%  -0.058  1.09e-04  37.7%/25.6%/18.6%/18.2%
    44,544    87    -0.00099  +0.0004  0.0046  1.282↓    0.0%  -0.060  1.06e-04  32.6%/21.9%/29.9%/15.6%
  ✓ Kontrolpunkts: checkpoints_Clean Baseline_XRP\ckpt_step0044544.pth  [59% apmācības]
    45,056    88    -0.00096  +0.0007  0.0011  1.268↓    0.0%  +0.092  1.03e-04  36.1%/24.2%/22.1%/17.6%
    45,568    89    -0.00062  +0.0001  0.0011  1.279↓    0.0%  -0.068  1.00e-04  33.6%/22.7%/26.2%/17.6%
    46,080    90    -0.00060  -0.0008  0.0010  1.274↓    0.0%  -0.214  9.70e-05  34.4%/23.0%/25.6%/17.0%
    46,592    91    -0.00055  +0.0001  0.0009  1.275↓    0.0%  -0.641  9.40e-05  39.6%/19.7%/24.0%/16.6%
    47,104    92    -0.00055  -0.0001  0.0010  1.275↓    0.0%  +0.386  9.11e-05  31.1%/23.4%/28.1%/17.4%
    47,616    93    -0.00053  +0.0016  0.0008  1.269↓    0.0%  -0.054  8.81e-05  32.4%/22.1%/27.9%/17.6%
    48,128    94    -0.00049  -0.0004  0.0010  1.286↓    0.0%  -0.354  8.52e-05  31.1%/21.7%/29.5%/17.8%
    48,640    95    -0.00046  -0.0011  0.0007  1.274↓    0.0%  -2.945  8.23e-05  34.2%/26.0%/21.9%/18.0%
    49,152    96    -0.00048  -0.0027  0.0010  1.290↓    0.0%  -0.856  7.95e-05  30.1%/24.8%/28.7%/16.4%
    49,664    97    -0.00044  -0.0005  0.0015  1.280↓    0.0%  +0.184  7.67e-05  35.5%/25.2%/21.9%/17.4%
    50,176    98    -0.00044  -0.0002  0.0008  1.267↓    0.0%  -1.269  7.39e-05  35.7%/23.0%/24.0%/17.2%
    50,688    99    -0.00045  -0.0012  0.0007  1.282↓    0.0%  -1.136  7.12e-05  30.3%/23.6%/28.3%/17.8%
    51,200   100    -0.00046  +0.0005  0.0010  1.271↓    0.0%  -0.421  6.84e-05  32.6%/20.3%/30.7%/16.4%
    51,712   101    -0.00050  +0.0012  0.0011  1.272↓    0.0%  -0.657  6.58e-05  30.9%/20.9%/30.5%/17.8%
    52,224   102    -0.00045  +0.0003  0.0007  1.284↓    0.0%  -1.005  6.31e-05  31.1%/27.0%/26.2%/15.8%
    52,736   103    -0.00044  -0.0009  0.0009  1.296↓    0.0%  -2.297  6.06e-05  27.5%/26.0%/31.4%/15.0%
    53,248   104    -0.00043  +0.0009  0.0008  1.262↓    0.0%  -0.085  5.80e-05  35.5%/23.2%/23.2%/18.0%
    53,760   105    -0.00047  -0.0003  0.0009  1.284↓    0.0%  -0.370  5.55e-05  31.6%/20.3%/32.2%/15.8%
    54,272   106    -0.00044  +0.0008  0.0006  1.299↓    0.0%  -0.387  5.30e-05  32.8%/26.6%/25.8%/14.8%
    54,784   107    -0.00038  -0.0008  0.0013  1.273↓    0.0%  -0.112  5.06e-05  32.8%/20.5%/28.5%/18.2%
    55,296   108    -0.00039  -0.0007  0.0010  1.287↓    0.0%  -0.720  4.83e-05  26.8%/28.1%/27.1%/18.0%
    55,808   109    -0.00039  +0.0009  0.0010  1.286↓    0.0%  -2.129  4.59e-05  34.6%/21.5%/27.1%/16.8%
    56,320   110    -0.00039  -0.0001  0.0006  1.286↓    0.0%  -2.459  4.37e-05  28.3%/25.2%/27.0%/19.5%
    56,832   111    -0.00035  -0.0002  0.0007  1.275↓    0.0%  -3.803  4.14e-05  36.5%/22.7%/22.7%/18.2%
    57,344   112    -0.00041  +0.0003  0.0008  1.293↓    0.0%  -1.115  3.93e-05  29.3%/22.9%/31.6%/16.2%
    57,856   113    -0.00037  -0.0016  0.0006  1.268↓    0.0%  -1.426  3.71e-05  34.8%/25.8%/21.7%/17.8%
    58,368   114    -0.00036  -0.0009  0.0007  1.288↓    0.0%  -2.529  3.51e-05  30.7%/21.1%/32.6%/15.6%
    58,880   115    -0.00031  +0.0014  0.0005  1.289↓    0.0%  -0.829  3.30e-05  32.8%/27.3%/23.4%/16.4%
    59,392   116    -0.00031  -0.0018  0.0006  1.273↓    0.0%  -1.596  3.11e-05  31.8%/21.9%/30.1%/16.2%
  ✓ Kontrolpunkts: checkpoints_Clean Baseline_XRP\ckpt_step0059392.pth  [79% apmācības]
    59,904   117    -0.00031  -0.0017  0.0007  1.280↓    0.0%  -0.105  2.92e-05  31.1%/21.3%/29.7%/18.0%
    60,416   118    -0.00028  +0.0001  0.0006  1.266↓    0.0%  -2.638  2.73e-05  30.5%/21.1%/28.3%/20.1%
    60,928   119    -0.00026  -0.0010  0.0006  1.282↓    0.0%  -1.102  2.55e-05  28.9%/25.4%/28.1%/17.6%
    61,440   120    -0.00027  +0.0006  0.0005  1.281↓    0.0%  -2.725  2.38e-05  30.9%/21.3%/30.7%/17.2%
    61,952   121    -0.00028  -0.0015  0.0007  1.289↓    0.0%  -7.031  2.21e-05  29.3%/21.1%/31.6%/18.0%
    62,464   122    -0.00024  -0.0008  0.0006  1.291↓    0.0%  -2.188  2.05e-05  28.7%/30.1%/26.0%/15.2%
    62,976   123    -0.00023  -0.0014  0.0008  1.282↓    0.0%  -2.170  1.89e-05  32.0%/20.1%/29.9%/18.0%
    63,488   124    -0.00024  -0.0006  0.0005  1.275↓    0.0%  -1.791  1.74e-05  33.4%/25.4%/22.1%/19.1%
    64,000   125    -0.00022  -0.0016  0.0009  1.265↓    0.0%  -2.001  1.60e-05  33.0%/20.3%/28.5%/18.2%
    64,512   126    -0.00022  +0.0006  0.0007  1.277↓    0.0%  -2.694  1.46e-05  30.7%/28.3%/22.1%/18.9%
    65,024   127    -0.00019  +0.0002  0.0007  1.274↓    0.0%  -2.994  1.33e-05  34.4%/20.9%/27.3%/17.4%
    65,536   128    -0.00020  +0.0003  0.0008  1.285↓    0.0%  -0.781  1.21e-05  33.0%/24.2%/24.6%/18.2%
    66,048   129    -0.00021  -0.0005  0.0006  1.281↓    0.0%  -3.839  1.09e-05  32.8%/21.3%/28.3%/17.6%
    66,560   130    -0.00023  +0.0015  0.0007  1.278↓    0.0%  -1.432  9.77e-06  33.6%/26.0%/24.2%/16.2%
    67,072   131    -0.00023  +0.0001  0.0007  1.280↓    0.0%  -0.575  8.72e-06  36.9%/25.4%/21.3%/16.4%
    67,584   132    -0.00029  -0.0001  0.0008  1.287↓    0.0%  -0.156  7.73e-06  29.1%/26.8%/27.5%/16.6%
    68,096   133    -0.00032  +0.0000  0.0007  1.275↓    0.0%  -1.103  6.81e-06  33.2%/22.5%/26.6%/17.8%
    68,608   134    -0.00033  +0.0014  0.0007  1.275↓    0.0%  -1.036  5.96e-06  34.2%/21.1%/27.7%/17.0%
    69,120   135    -0.00037  -0.0016  0.0009  1.279↓    0.0%  -0.261  5.17e-06  30.3%/26.8%/25.4%/17.6%
    69,632   136    -0.00038  -0.0010  0.0008  1.273↓    0.0%  -0.639  4.45e-06  33.4%/24.0%/24.4%/18.2%
    70,144   137    -0.00040  -0.0000  0.0007  1.287↓    0.0%  -1.164  3.79e-06  32.0%/24.6%/25.8%/17.6%
    70,656   138    -0.00041  -0.0008  0.0010  1.289↓    0.0%  -2.662  3.21e-06  30.9%/26.8%/24.4%/18.0%
    71,168   139    -0.00041  -0.0002  0.0007  1.280↓    0.0%  -2.355  2.69e-06  30.7%/26.2%/23.8%/19.3%
    71,680   140    -0.00042  +0.0002  0.0008  1.286↓    0.0%  -0.777  2.24e-06  33.2%/24.6%/25.4%/16.8%
    72,192   141    -0.00043  +0.0001  0.0007  1.297↓    0.0%  -3.147  1.86e-06  27.9%/28.9%/26.6%/16.6%
    72,704   142    -0.00039  -0.0001  0.0005  1.287↓    0.0%  -2.677  1.55e-06  32.2%/25.4%/26.4%/16.0%
    73,216   143    -0.00037  +0.0018  0.0008  1.279↓    0.0%  -2.003  1.31e-06  30.9%/21.1%/30.9%/17.2%
    73,728   144    -0.00038  +0.0013  0.0006  1.287↓    0.0%  -2.870  1.14e-06  30.3%/24.8%/26.8%/18.2%
    74,240   145    -0.00033  -0.0002  0.0007  1.287↓    0.0%  -3.236  1.03e-06  34.4%/18.4%/32.2%/15.0%
  ✓ Kontrolpunkts: checkpoints_Clean Baseline_XRP\ckpt_step0074240.pth  [99% apmācības]
    74,752   146    -0.00031  -0.0006  0.0006  1.293↓    0.0%  -3.044  1.00e-06  29.9%/27.3%/27.1%/15.6%
