Žurnāls: ppo_trader_Risk Control Mode_LTC.log

Ierīce: cpu  |  AMP: False
Eksperiments: Risk Control Mode

============================================================
1. SOLIS: Datu ielāde
============================================================
Visa datu kopa : 772,457 sveces  |  2019-01-05 05:00:00 → 2026-05-13 05:00:00
Izmantojam     : 331,053 sveces  |  2023-03-20 15:55:00 → 2026-05-13 05:00:00
Apmācība (~2g) : 0..220,702  (2023-03-20 15:55:00 → 2025-04-25 01:05:00)
Tests  (~1g)   : 220,702..331,053  (2025-04-25 01:10:00 → 2026-05-13 05:00:00)
Pazīmes (tirgus): 32
N_STATE_FEATURES=34

Slipāžas rindu priekšaprēķins...

============================================================
7. SOLIS: Modelis
============================================================
Parametri: 62,853  |  INPUT_DIM=34
Arhitektūra: D_MODEL=64, N_HEADS=2, N_LAYERS=1, SEQ_LEN=32

============================================================
10. SOLIS: Apmācība (PPO)
============================================================
Kopējie soļi: 75,000  |  N_ENVS: 4  |  ROLLOUT_STEPS: 128
Bufera izmērs vienam atjauninājumam: 512 pārejas
PPO epohi: 2  |  Mini-pakete: 128
Labvēlības periods: 12 sveces  |  Atvēršanas sods: 0.000898  |  Min darījums: 72 sveces  |  Īsa darījuma sods: 0.000898
Kontrolpunkti: checkpoints_Risk Control Mode_LTC/  (ik pēc 29 atjauninājumiem)

────────────────────────────────────────────────────────────────────────────────
     Solis   Upd  Rew(avg10)       pi       v    ent   clip%      ev        lr  Darbības(H/L/S/C)
    40,960    80    -0.00340  -0.0001  0.0081  0.009↓    0.0%  -0.340  1.28e-04  99.6%/ 0.2%/ 0.0%/ 0.2%
    41,472    81    -0.00340  +0.0000  0.0033  0.006↓    0.0%  -4.827  1.25e-04  100.0%/ 0.0%/ 0.0%/ 0.0%
    41,984    82    -0.00370  +0.0002  0.0365  0.015↓    0.0%  -0.088  1.22e-04  99.6%/ 0.0%/ 0.2%/ 0.2%
    42,496    83    -0.00370  +0.0000  0.0030  0.006↓    0.0%  -2.036  1.19e-04  100.0%/ 0.0%/ 0.0%/ 0.0%
    43,008    84    -0.00351  +0.0000  0.0032  0.006↓    0.0%  -4.326  1.15e-04  100.0%/ 0.0%/ 0.0%/ 0.0%
    43,520    85    -0.00351  +0.0000  0.0028  0.006↓    0.0%  -2.708  1.12e-04  100.0%/ 0.0%/ 0.0%/ 0.0%
    44,032    86    -0.00341  +0.0000  0.0026  0.006↓    0.0%  -2.304  1.09e-04  100.0%/ 0.0%/ 0.0%/ 0.0%
    44,544    87    -0.00341  +0.0000  0.0043  0.006↓    0.0%  -0.889  1.06e-04  100.0%/ 0.0%/ 0.0%/ 0.0%
  ✓ Kontrolpunkts: checkpoints_Risk Control Mode_LTC\ckpt_step0044544.pth  [59% apmācības]
    45,056    88    -0.00341  +0.0000  0.0023  0.006↓    0.0%  -2.735  1.03e-04  100.0%/ 0.0%/ 0.0%/ 0.0%
    45,568    89    -0.00341  +0.0000  0.0024  0.006↓    0.0%  -2.411  1.00e-04  100.0%/ 0.0%/ 0.0%/ 0.0%
    46,080    90    -0.00337  -0.0004  0.0045  0.007↓    0.0%  -1.250  9.70e-05  99.6%/ 0.2%/ 0.0%/ 0.2%
    46,592    91    -0.00359  -0.0001  0.0209  0.012↓    0.0%  +0.008  9.40e-05  99.6%/ 0.0%/ 0.2%/ 0.2%
    47,104    92    -0.00330  +0.0000  0.0023  0.005↓    0.0%  -2.262  9.11e-05  100.0%/ 0.0%/ 0.0%/ 0.0%
    47,616    93    -0.00330  -0.0000  0.0027  0.005↓    0.0%  -1.125  8.81e-05  100.0%/ 0.0%/ 0.0%/ 0.0%
    48,128    94    -0.00330  +0.0000  0.0022  0.005↓    0.0%  -0.917  8.52e-05  100.0%/ 0.0%/ 0.0%/ 0.0%
    48,640    95    -0.00330  +0.0000  0.0025  0.005↓    0.0%  -2.180  8.23e-05  100.0%/ 0.0%/ 0.0%/ 0.0%
    49,152    96    -0.00337  -0.0005  0.0045  0.007↓    0.0%  -0.537  7.95e-05  99.6%/ 0.0%/ 0.2%/ 0.2%
    49,664    97    -0.00337  +0.0000  0.0022  0.005↓    0.0%  -0.615  7.67e-05  100.0%/ 0.0%/ 0.0%/ 0.0%
    50,176    98    -0.00337  +0.0000  0.0023  0.005↓    0.0%  -1.706  7.39e-05  100.0%/ 0.0%/ 0.0%/ 0.0%
