Žurnāls: ppo_trader_Realistic Mode, OP - 0.0001 (Overtrade)_DOGE.log

Ierīce: cpu  |  AMP: False
Eksperiments: OP - 0.0001 (Overtrade)

============================================================
1. SOLIS: Datu ielāde
============================================================
Visa datu kopa : 719,235 sveces  |  2019-07-09 17:00:00 → 2026-05-13 04:55:00
Izmantojam     : 308,244 sveces  |  2023-06-07 22:00:00 → 2026-05-13 04:55:00
Apmācība (~2g) : 0..205,496  (2023-06-07 22:00:00 → 2025-05-21 10:35:00)
Tests  (~1g)   : 205,496..308,244  (2025-05-21 10:40:00 → 2026-05-13 04:55:00)
Pazīmes (tirgus): 32
N_STATE_FEATURES=34

Slipāžas rindu priekšaprēķins...

============================================================
7. SOLIS: Modelis
============================================================
Parametri: 62,853  |  INPUT_DIM=34
Arhitektūra: D_MODEL=64, N_HEADS=2, N_LAYERS=1, SEQ_LEN=32

============================================================
10. SOLIS: Apmācība (PPO)
============================================================
Kopējie soļi: 75,000  |  N_ENVS: 4  |  ROLLOUT_STEPS: 128
Bufera izmērs vienam atjauninājumam: 512 pārejas
PPO epohi: 2  |  Mini-pakete: 128
Labvēlības periods: 12 sveces  |  Atvēršanas sods: 0.0001  |  Min darījums: 72 sveces  |  Īsa darījuma sods: 0.0001
Kontrolpunkti: checkpoints_Realistic Mode, OP - 0.0001 (Overtrade)_DOGE/  (ik pēc 29 atjauninājumiem)

────────────────────────────────────────────────────────────────────────────────
     Solis   Upd  Rew(avg10)       pi       v    ent   clip%      ev        lr  Darbības(H/L/S/C)
    24,064    47    -0.00240  -0.0011  0.0019  1.288↓    0.0%  +0.633  2.30e-04  28.5%/28.3%/23.4%/19.7%
    24,576    48    -0.00243  -0.0005  0.0037  1.298↓    0.0%  +0.711  2.27e-04  27.5%/29.1%/25.4%/18.0%
    25,088    49    -0.00254  -0.0013  0.0052  1.281↓    0.0%  +0.540  2.24e-04  32.0%/24.6%/25.2%/18.2%
    25,600    50    -0.00224  -0.0007  0.0023  1.297↓    0.0%  +0.885  2.22e-04  25.8%/25.2%/29.3%/19.7%
    26,112    51    -0.00222  -0.0008  0.0028  1.288↓    0.0%  +0.709  2.19e-04  32.4%/25.6%/25.6%/16.4%
    26,624    52    -0.00218  -0.0014  0.0024  1.304↓    0.0%  +0.754  2.16e-04  28.1%/30.7%/24.8%/16.4%
    27,136    53    -0.00208  -0.0009  0.0028  1.292↓    0.0%  -0.127  2.13e-04  30.3%/24.4%/28.3%/17.0%
    27,648    54    -0.00215  -0.0005  0.0041  1.286↓    0.0%  +0.502  2.10e-04  25.6%/27.7%/27.3%/19.3%
    28,160    55    -0.00221  -0.0026  0.0032  1.292↓    0.0%  +0.473  2.07e-04  26.4%/26.6%/28.1%/18.9%
    28,672    56    -0.00217  -0.0004  0.0030  1.290↓    0.0%  +0.535  2.04e-04  25.8%/26.2%/27.7%/20.3%
    29,184    57    -0.00216  -0.0010  0.0023  1.295↓    0.0%  +0.447  2.01e-04  27.3%/29.5%/25.6%/17.6%
    29,696    58    -0.00216  -0.0005  0.0022  1.275↓    0.0%  +0.405  1.98e-04  27.3%/23.2%/28.1%/21.3%
  ✓ Kontrolpunkts: checkpoints_Realistic Mode, OP - 0.0001 (Overtrade)_DOGE\ckpt_step0029696.pth  [40% apmācības]
    30,208    59    -0.00198  -0.0004  0.0016  1.301↓    0.0%  -0.037  1.95e-04  23.6%/31.4%/26.2%/18.8%
    30,720    60    -0.00193  -0.0003  0.0013  1.283↓    0.0%  -0.911  1.92e-04  27.9%/24.4%/28.9%/18.8%
    31,232    61    -0.00186  -0.0009  0.0016  1.301↓    0.0%  -0.196  1.89e-04  28.7%/24.0%/28.7%/18.6%
    31,744    62    -0.00183  -0.0004  0.0013  1.281↓    0.0%  -0.830  1.86e-04  32.6%/21.7%/28.7%/17.0%
    32,256    63    -0.00188  -0.0003  0.0020  1.301↓    0.0%  +0.371  1.82e-04  28.5%/25.2%/28.1%/18.2%
    32,768    64    -0.00175  -0.0012  0.0015  1.288↓    0.0%  +0.560  1.79e-04  31.2%/24.8%/26.0%/18.0%
    33,280    65    -0.00170  -0.0008  0.0023  1.289↓    0.0%  -0.091  1.76e-04  31.8%/24.2%/27.0%/17.0%
    33,792    66    -0.00169  -0.0010  0.0033  1.287↓    0.0%  +0.330  1.73e-04  27.5%/25.4%/27.9%/19.1%
    34,304    67    -0.00163  +0.0001  0.0018  1.279↓    0.0%  +0.266  1.70e-04  31.1%/21.9%/26.8%/20.3%
    34,816    68    -0.00156  -0.0005  0.0021  1.302↓    0.0%  +0.450  1.67e-04  27.1%/25.8%/29.5%/17.6%
    35,328    69    -0.00153  -0.0006  0.0014  1.288↓    0.0%  +0.500  1.63e-04  34.0%/19.9%/28.3%/17.8%
    35,840    70    -0.00147  +0.0001  0.0021  1.292↓    0.0%  -0.176  1.60e-04  26.0%/24.2%/30.3%/19.5%
    36,352    71    -0.00143  -0.0002  0.0015  1.305↓    0.0%  +0.262  1.57e-04  31.2%/30.3%/23.2%/15.2%
    36,864    72    -0.00147  -0.0025  0.0015  1.295↓    0.0%  -0.855  1.54e-04  24.8%/27.5%/28.7%/18.9%
    37,376    73    -0.00142  -0.0002  0.0016  1.288↓    0.0%  +0.403  1.50e-04  29.5%/23.6%/29.7%/17.2%
    37,888    74    -0.00138  -0.0002  0.0015  1.287↓    0.0%  -0.395  1.47e-04  31.4%/24.8%/25.4%/18.4%
    38,400    75    -0.00129  -0.0002  0.0014  1.298↓    0.0%  -0.137  1.44e-04  28.3%/23.6%/31.1%/17.0%
    38,912    76    -0.00118  -0.0004  0.0013  1.282↓    0.0%  -2.110  1.41e-04  28.9%/24.4%/27.3%/19.3%
    39,424    77    -0.00122  -0.0016  0.0015  1.300↓    0.0%  -0.249  1.38e-04  25.6%/26.8%/29.7%/18.0%
    39,936    78    -0.00116  +0.0001  0.0018  1.285↓    0.0%  -0.013  1.34e-04  28.3%/24.8%/28.3%/18.6%
    40,448    79    -0.00115  -0.0012  0.0014  1.300↓    0.0%  +0.133  1.31e-04  25.6%/27.5%/28.3%/18.6%
    40,960    80    -0.00121  -0.0002  0.0021  1.292↓    0.0%  -0.164  1.28e-04  29.9%/22.5%/29.3%/18.4%
    41,472    81    -0.00127  -0.0012  0.0014  1.289↓    0.0%  +0.295  1.25e-04  27.9%/26.2%/26.4%/19.5%
    41,984    82    -0.00123  +0.0008  0.0014  1.280↓    0.0%  +0.553  1.22e-04  33.6%/20.3%/28.1%/18.0%
    42,496    83    -0.00118  -0.0001  0.0011  1.281↓    0.0%  +0.577  1.19e-04  30.1%/24.0%/26.4%/19.5%
    43,008    84    -0.00115  -0.0007  0.0013  1.294↓    0.0%  +0.529  1.15e-04  27.0%/28.9%/26.2%/18.0%
    43,520    85    -0.00116  -0.0009  0.0011  1.291↓    0.0%  +0.378  1.12e-04  32.4%/27.1%/22.9%/17.6%
    44,032    86    -0.00119  -0.0008  0.0012  1.281↓    0.0%  +0.623  1.09e-04  30.5%/26.0%/23.2%/20.3%
    44,544    87    -0.00110  -0.0002  0.0010  1.286↓    0.0%  +0.443  1.06e-04  31.2%/23.2%/28.3%/17.2%
  ✓ Kontrolpunkts: checkpoints_Realistic Mode, OP - 0.0001 (Overtrade)_DOGE\ckpt_step0044544.pth  [59% apmācības]
    45,056    88    -0.00105  -0.0003  0.0010  1.292↓    0.0%  +0.568  1.03e-04  28.5%/25.4%/26.4%/19.7%
    45,568    89    -0.00098  -0.0006  0.0012  1.275↓    0.0%  +0.532  1.00e-04  32.4%/23.0%/25.0%/19.5%
    46,080    90    -0.00095  +0.0009  0.0011  1.285↓    0.0%  +0.575  9.70e-05  30.7%/24.8%/24.8%/19.7%
    46,592    91    -0.00089  +0.0005  0.0008  1.282↓    0.0%  +0.601  9.40e-05  34.8%/21.3%/26.4%/17.6%
    47,104    92    -0.00087  -0.0006  0.0007  1.280↓    0.0%  +0.552  9.11e-05  30.7%/23.4%/27.5%/18.4%
    47,616    93    -0.00083  -0.0006  0.0009  1.283↓    0.0%  +0.728  8.81e-05  27.7%/21.3%/32.0%/18.9%
    48,128    94    -0.00075  -0.0004  0.0010  1.282↓    0.0%  +0.703  8.52e-05  30.5%/24.0%/26.2%/19.3%
    48,640    95    -0.00072  -0.0000  0.0009  1.280↓    0.0%  +0.795  8.23e-05  28.3%/24.6%/27.0%/20.1%
    49,152    96    -0.00072  +0.0005  0.0009  1.280↓    0.0%  +0.747  7.95e-05  32.4%/25.6%/23.4%/18.6%
    49,664    97    -0.00074  -0.0006  0.0014  1.291↓    0.0%  +0.766  7.67e-05  29.5%/24.2%/27.1%/19.1%
    50,176    98    -0.00086  -0.0004  0.0021  1.276↓    0.0%  +0.716  7.39e-05  31.1%/25.8%/23.4%/19.7%
    50,688    99    -0.00100  -0.0002  0.0013  1.303↓    0.0%  +0.893  7.12e-05  24.0%/26.2%/31.4%/18.4%
    51,200   100    -0.00109  +0.0003  0.0019  1.298↓    0.0%  +0.853  6.84e-05  26.6%/25.0%/30.1%/18.4%
    51,712   101    -0.00113  -0.0005  0.0014  1.279↓    0.0%  +0.858  6.58e-05  31.2%/21.7%/27.7%/19.3%
    52,224   102    -0.00121  -0.0001  0.0022  1.302↓    0.0%  +0.690  6.31e-05  25.6%/29.5%/27.0%/18.0%
    52,736   103    -0.00141  +0.0006  0.0020  1.301↓    0.0%  +0.787  6.06e-05  28.5%/29.1%/24.8%/17.6%
    53,248   104    -0.00144  +0.0001  0.0017  1.292↓    0.0%  +0.653  5.80e-05  28.7%/25.6%/27.0%/18.8%
    53,760   105    -0.00151  +0.0001  0.0020  1.296↓    0.0%  +0.728  5.55e-05  31.1%/24.2%/28.3%/16.4%
    54,272   106    -0.00150  -0.0002  0.0012  1.312↓    0.0%  +0.856  5.30e-05  28.3%/27.0%/28.1%/16.6%
    54,784   107    -0.00156  -0.0004  0.0013  1.274↓    0.0%  +0.879  5.06e-05  32.2%/23.0%/24.4%/20.3%
    55,296   108    -0.00153  -0.0002  0.0022  1.299↓    0.0%  +0.839  4.83e-05  24.0%/25.4%/31.4%/19.1%
    55,808   109    -0.00155  +0.0006  0.0026  1.288↓    0.0%  +0.871  4.59e-05  31.2%/21.5%/28.9%/18.4%
    56,320   110    -0.00156  -0.0004  0.0019  1.287↓    0.0%  +0.862  4.37e-05  25.6%/24.8%/28.1%/21.5%
    56,832   111    -0.00163  +0.0004  0.0019  1.282↓    0.0%  +0.838  4.14e-05  30.3%/24.8%/24.0%/20.9%
    57,344   112    -0.00167  -0.0001  0.0015  1.287↓    0.0%  +0.908  3.93e-05  27.1%/25.2%/28.3%/19.3%
    57,856   113    -0.00148  +0.0004  0.0011  1.291↓    0.0%  +0.907  3.71e-05  29.3%/26.6%/26.2%/18.0%
    58,368   114    -0.00159  +0.0002  0.0012  1.290↓    0.0%  +0.850  3.51e-05  30.9%/25.0%/26.4%/17.8%
