Žurnāls: ppo_trader_Risk Control Mode_DOGE.log

Ierīce: cpu  |  AMP: False
Eksperiments: Risk Control Mode

============================================================
1. SOLIS: Datu ielāde
============================================================
Visa datu kopa : 719,235 sveces  |  2019-07-09 17:00:00 → 2026-05-13 04:55:00
Izmantojam     : 308,244 sveces  |  2023-06-07 22:00:00 → 2026-05-13 04:55:00
Apmācība (~2g) : 0..205,496  (2023-06-07 22:00:00 → 2025-05-21 10:35:00)
Tests  (~1g)   : 205,496..308,244  (2025-05-21 10:40:00 → 2026-05-13 04:55:00)
Pazīmes (tirgus): 32
N_STATE_FEATURES=34

Slipāžas rindu priekšaprēķins...

============================================================
7. SOLIS: Modelis
============================================================
Parametri: 62,853  |  INPUT_DIM=34
Arhitektūra: D_MODEL=64, N_HEADS=2, N_LAYERS=1, SEQ_LEN=32

============================================================
10. SOLIS: Apmācība (PPO)
============================================================
Kopējie soļi: 75,000  |  N_ENVS: 4  |  ROLLOUT_STEPS: 128
Bufera izmērs vienam atjauninājumam: 512 pārejas
PPO epohi: 2  |  Mini-pakete: 128
Labvēlības periods: 12 sveces  |  Atvēršanas sods: 0.000898  |  Min darījums: 72 sveces  |  Īsa darījuma sods: 0.000898
Kontrolpunkti: checkpoints_Risk Control Mode_DOGE/  (ik pēc 29 atjauninājumiem)

────────────────────────────────────────────────────────────────────────────────
     Solis   Upd  Rew(avg10)       pi       v    ent   clip%      ev        lr  Darbības(H/L/S/C)
    23,552    46    -0.04260  -0.0016  0.2017  0.357↓    1.3%  -0.232  2.33e-04  84.8%/ 3.9%/ 3.9%/ 7.4%
    24,064    47    -0.04191  -0.0022  0.3455  0.320↓    0.5%  -0.492  2.30e-04  89.1%/ 2.9%/ 2.5%/ 5.5%
    24,576    48    -0.04104  -0.0030  0.2344  0.311↓    0.9%  -0.228  2.27e-04  87.5%/ 2.9%/ 3.3%/ 6.2%
    25,088    49    -0.04066  +0.0133  0.5429  0.309↓    4.4%  -4.928  2.24e-04  88.5%/ 2.1%/ 3.9%/ 5.5%
    25,600    50    -0.03880  +0.0001  0.1680  0.246↓    1.3%  +0.018  2.22e-04  91.6%/ 2.0%/ 2.3%/ 4.1%
    26,112    51    -0.03584  -0.0002  0.2737  0.213↓    0.1%  +0.433  2.19e-04  93.8%/ 1.4%/ 1.8%/ 3.1%
    26,624    52    -0.03238  -0.0017  0.1730  0.167↓    0.2%  +0.139  2.16e-04  97.3%/ 0.4%/ 1.0%/ 1.4%
    27,136    53    -0.03028  -0.0007  0.1391  0.162↓    0.0%  -0.224  2.13e-04  96.5%/ 1.4%/ 0.4%/ 1.8%
    27,648    54    -0.02833  -0.0032  0.0962  0.150↓    0.5%  -0.002  2.10e-04  94.1%/ 1.4%/ 1.6%/ 2.9%
    28,160    55    -0.02564  +0.0006  0.0889  0.121↓    0.1%  -0.461  2.07e-04  96.9%/ 0.8%/ 0.8%/ 1.6%
    28,672    56    -0.02184  -0.0021  0.1032  0.106↓    0.2%  -0.003  2.04e-04  97.5%/ 1.0%/ 0.4%/ 1.2%
    29,184    57    -0.01947  -0.0003  0.0610  0.103↓    0.1%  -1.100  2.01e-04  97.1%/ 1.0%/ 0.4%/ 1.6%
    29,696    58    -0.01692  -0.0021  0.0631  0.102↓    0.4%  -0.549  1.98e-04  95.5%/ 0.8%/ 1.6%/ 2.1%
  ✓ Kontrolpunkts: checkpoints_Risk Control Mode_DOGE\ckpt_step0029696.pth  [40% apmācības]
    30,208    59    -0.01396  -0.0008  0.0556  0.078↓    0.2%  -1.490  1.95e-04  97.3%/ 0.6%/ 0.8%/ 1.4%
    30,720    60    -0.01200  -0.0037  0.0383  0.059↓    0.3%  -1.564  1.92e-04  98.8%/ 0.4%/ 0.2%/ 0.6%
    31,232    61    -0.01025  -0.0010  0.0374  0.056↓    0.0%  -0.829  1.89e-04  98.4%/ 0.6%/ 0.2%/ 0.8%
    31,744    62    -0.00978  -0.0008  0.0304  0.044↓    0.1%  -3.139  1.86e-04  99.2%/ 0.2%/ 0.2%/ 0.4%
    32,256    63    -0.00902  -0.0012  0.0276  0.039↓    0.0%  -1.596  1.82e-04  99.2%/ 0.0%/ 0.4%/ 0.4%
    32,768    64    -0.00785  -0.0021  0.0275  0.037↓    0.1%  -0.831  1.79e-04  98.4%/ 0.2%/ 0.6%/ 0.8%
    33,280    65    -0.00723  -0.0009  0.0209  0.030↓    0.2%  -0.580  1.76e-04  99.2%/ 0.0%/ 0.4%/ 0.4%
    33,792    66    -0.00675  -0.0006  0.0291  0.026↓    0.0%  -0.050  1.73e-04  99.6%/ 0.2%/ 0.0%/ 0.2%
    34,304    67    -0.00627  +0.0001  0.0174  0.023↓    0.0%  +0.031  1.70e-04  99.6%/ 0.0%/ 0.2%/ 0.2%
    34,816    68    -0.00553  -0.0009  0.0290  0.025↓    0.1%  -0.643  1.67e-04  99.2%/ 0.2%/ 0.2%/ 0.4%
    35,328    69    -0.00520  -0.0009  0.0270  0.021↓    0.0%  -0.056  1.63e-04  99.2%/ 0.0%/ 0.4%/ 0.4%
    35,840    70    -0.00536  -0.0021  0.0279  0.021↓    0.0%  +0.154  1.60e-04  98.4%/ 0.6%/ 0.2%/ 0.8%
    36,352    71    -0.00500  +0.0000  0.0105  0.011↓    0.0%  -3.596  1.57e-04  100.0%/ 0.0%/ 0.0%/ 0.0%
    36,864    72    -0.00493  -0.0003  0.0132  0.011↓    0.0%  -0.260  1.54e-04  99.6%/ 0.0%/ 0.2%/ 0.2%
    37,376    73    -0.00478  +0.0000  0.0094  0.009↓    0.0%  -0.407  1.50e-04  100.0%/ 0.0%/ 0.0%/ 0.0%
    37,888    74    -0.00457  +0.0003  0.0093  0.010↓    0.0%  +0.137  1.47e-04  99.6%/ 0.2%/ 0.0%/ 0.2%
    38,400    75    -0.00438  +0.0000  0.0074  0.008↓    0.0%  -1.440  1.44e-04  100.0%/ 0.0%/ 0.0%/ 0.0%
    38,912    76    -0.00434  -0.0001  0.0113  0.010↓    0.0%  -0.063  1.41e-04  99.6%/ 0.0%/ 0.2%/ 0.2%
    39,424    77    -0.00426  -0.0005  0.0089  0.008↓    0.0%  -0.774  1.38e-04  99.6%/ 0.0%/ 0.2%/ 0.2%
    39,936    78    -0.00396  +0.0000  0.0063  0.007↓    0.0%  -0.335  1.34e-04  100.0%/ 0.0%/ 0.0%/ 0.0%
    40,448    79    -0.00371  +0.0000  0.0050  0.006↓    0.0%  -1.418  1.31e-04  100.0%/ 0.0%/ 0.0%/ 0.0%
    40,960    80    -0.00343  +0.0000  0.0104  0.009↓    0.0%  -1.156  1.28e-04  99.6%/ 0.2%/ 0.0%/ 0.2%
    41,472    81    -0.00343  +0.0000  0.0044  0.006↓    0.0%  -1.141  1.25e-04  100.0%/ 0.0%/ 0.0%/ 0.0%
    41,984    82    -0.00369  -0.0000  0.0419  0.015↓    0.0%  -0.001  1.22e-04  99.6%/ 0.0%/ 0.2%/ 0.2%
    42,496    83    -0.00370  -0.0000  0.0052  0.006↓    0.0%  -0.699  1.19e-04  100.0%/ 0.0%/ 0.0%/ 0.0%
    43,008    84    -0.00363  +0.0000  0.0043  0.006↓    0.0%  -5.707  1.15e-04  100.0%/ 0.0%/ 0.0%/ 0.0%
    43,520    85    -0.00363  +0.0000  0.0038  0.006↓    0.0%  -1.181  1.12e-04  100.0%/ 0.0%/ 0.0%/ 0.0%
    44,032    86    -0.00352  +0.0000  0.0038  0.006↓    0.0%  -8.056  1.09e-04  100.0%/ 0.0%/ 0.0%/ 0.0%
    44,544    87    -0.00345  +0.0000  0.0039  0.006↓    0.0%  -2.160  1.06e-04  100.0%/ 0.0%/ 0.0%/ 0.0%
  ✓ Kontrolpunkts: checkpoints_Risk Control Mode_DOGE\ckpt_step0044544.pth  [59% apmācības]
    45,056    88    -0.00345  +0.0000  0.0031  0.006↓    0.0%  -1.996  1.03e-04  100.0%/ 0.0%/ 0.0%/ 0.0%
    45,568    89    -0.00345  +0.0000  0.0031  0.006↓    0.0%  -1.154  1.00e-04  100.0%/ 0.0%/ 0.0%/ 0.0%
    46,080    90    -0.00334  +0.0000  0.0037  0.006↓    0.0%  -1.061  9.70e-05  100.0%/ 0.0%/ 0.0%/ 0.0%
    46,592    91    -0.00341  +0.0002  0.0054  0.007↓    0.0%  -0.588  9.40e-05  99.6%/ 0.0%/ 0.2%/ 0.2%
    47,104    92    -0.00307  +0.0000  0.0033  0.005↓    0.0%  -6.113  9.11e-05  100.0%/ 0.0%/ 0.0%/ 0.0%
    47,616    93    -0.00307  +0.0000  0.0033  0.005↓    0.0%  -0.871  8.81e-05  100.0%/ 0.0%/ 0.0%/ 0.0%
    48,128    94    -0.00307  +0.0000  0.0032  0.005↓    0.0%  -0.479  8.52e-05  100.0%/ 0.0%/ 0.0%/ 0.0%
    48,640    95    -0.00307  +0.0000  0.0032  0.005↓    0.0%  -1.144  8.23e-05  100.0%/ 0.0%/ 0.0%/ 0.0%
    49,152    96    -0.00314  -0.0003  0.0053  0.007↓    0.0%  -1.046  7.95e-05  99.6%/ 0.0%/ 0.2%/ 0.2%
    49,664    97    -0.00314  -0.0000  0.0037  0.006↓    0.0%  -0.125  7.67e-05  100.0%/ 0.0%/ 0.0%/ 0.0%
    50,176    98    -0.00314  +0.0000  0.0035  0.005↓    0.0%  -0.482  7.39e-05  100.0%/ 0.0%/ 0.0%/ 0.0%
    50,688    99    -0.00330  +0.0005  0.0129  0.009↓    0.0%  -0.108  7.12e-05  99.6%/ 0.0%/ 0.2%/ 0.2%
    51,200   100    -0.00330  +0.0000  0.0030  0.005↓    0.0%  -4.875  6.84e-05  100.0%/ 0.0%/ 0.0%/ 0.0%
    51,712   101    -0.00323  +0.0000  0.0032  0.005↓    0.0%  -1.400  6.58e-05  100.0%/ 0.0%/ 0.0%/ 0.0%
