Žurnāls: ppo_trader_Realistic Mode, OP - 0.0008 (Active)_DOGE.log

Ierīce: cpu  |  AMP: False
Eksperiments: OP - 0.0008 (Active)

============================================================
1. SOLIS: Datu ielāde
============================================================
Visa datu kopa : 719,235 sveces  |  2019-07-09 17:00:00 → 2026-05-13 04:55:00
Izmantojam     : 308,244 sveces  |  2023-06-07 22:00:00 → 2026-05-13 04:55:00
Apmācība (~2g) : 0..205,496  (2023-06-07 22:00:00 → 2025-05-21 10:35:00)
Tests  (~1g)   : 205,496..308,244  (2025-05-21 10:40:00 → 2026-05-13 04:55:00)
Pazīmes (tirgus): 32
N_STATE_FEATURES=34

Slipāžas rindu priekšaprēķins...

============================================================
7. SOLIS: Modelis
============================================================
Parametri: 62,853  |  INPUT_DIM=34
Arhitektūra: D_MODEL=64, N_HEADS=2, N_LAYERS=1, SEQ_LEN=32

============================================================
10. SOLIS: Apmācība (PPO)
============================================================
Kopējie soļi: 75,000  |  N_ENVS: 4  |  ROLLOUT_STEPS: 128
Bufera izmērs vienam atjauninājumam: 512 pārejas
PPO epohi: 2  |  Mini-pakete: 128
Labvēlības periods: 12 sveces  |  Atvēršanas sods: 0.0008  |  Min darījums: 72 sveces  |  Īsa darījuma sods: 0.0008
Kontrolpunkti: checkpoints_Realistic Mode, OP - 0.0008 (Active)_DOGE/  (ik pēc 29 atjauninājumiem)

────────────────────────────────────────────────────────────────────────────────
     Solis   Upd  Rew(avg10)       pi       v    ent   clip%      ev        lr  Darbības(H/L/S/C)
    25,600    50    -0.00257  -0.0007  0.0025  1.297↓    0.0%  +0.882  2.22e-04  26.0%/24.8%/29.3%/19.9%
    26,112    51    -0.00256  -0.0010  0.0029  1.292↓    0.0%  +0.700  2.19e-04  31.8%/25.8%/26.4%/16.0%
    26,624    52    -0.00254  -0.0014  0.0025  1.303↓    0.0%  +0.753  2.16e-04  28.7%/30.7%/24.2%/16.4%
    27,136    53    -0.00244  -0.0011  0.0030  1.294↓    0.0%  -0.239  2.13e-04  30.5%/24.4%/28.3%/16.8%
    27,648    54    -0.00252  -0.0004  0.0041  1.286↓    0.0%  +0.536  2.10e-04  25.4%/27.3%/28.1%/19.1%
    28,160    55    -0.00256  -0.0032  0.0033  1.291↓    0.0%  +0.463  2.07e-04  26.8%/26.6%/27.7%/18.9%
    28,672    56    -0.00251  -0.0002  0.0030  1.286↓    0.0%  +0.538  2.04e-04  27.1%/25.2%/27.5%/20.1%
    29,184    57    -0.00249  -0.0014  0.0025  1.294↓    0.0%  +0.408  2.01e-04  28.1%/29.3%/25.2%/17.4%
    29,696    58    -0.00249  -0.0006  0.0024  1.275↓    0.0%  +0.342  1.98e-04  27.5%/23.0%/28.3%/21.1%
  ✓ Kontrolpunkts: checkpoints_Realistic Mode, OP - 0.0008 (Active)_DOGE\ckpt_step0029696.pth  [40% apmācības]
    30,208    59    -0.00232  -0.0006  0.0016  1.302↓    0.0%  -0.055  1.95e-04  24.4%/31.2%/26.0%/18.4%
    30,720    60    -0.00229  -0.0005  0.0014  1.282↓    0.0%  -0.826  1.92e-04  28.5%/23.6%/29.1%/18.8%
    31,232    61    -0.00220  -0.0008  0.0017  1.300↓    0.0%  -0.383  1.89e-04  30.3%/22.9%/28.1%/18.8%
    31,744    62    -0.00216  -0.0003  0.0014  1.281↓    0.0%  -0.636  1.86e-04  32.2%/20.7%/29.7%/17.4%
    32,256    63    -0.00219  +0.0004  0.0019  1.302↓    0.0%  +0.225  1.82e-04  30.1%/25.0%/27.3%/17.6%
    32,768    64    -0.00207  -0.0009  0.0015  1.289↓    0.0%  +0.554  1.79e-04  31.6%/24.4%/26.2%/17.8%
    33,280    65    -0.00203  -0.0009  0.0023  1.290↓    0.0%  -0.148  1.76e-04  34.0%/23.2%/26.8%/16.0%
    33,792    66    -0.00205  -0.0007  0.0038  1.289↓    0.0%  +0.317  1.73e-04  28.1%/25.4%/27.5%/18.9%
    34,304    67    -0.00202  -0.0002  0.0023  1.283↓    0.0%  +0.294  1.70e-04  31.6%/21.1%/27.3%/19.9%
    34,816    68    -0.00196  -0.0009  0.0022  1.305↓    0.0%  +0.517  1.67e-04  27.7%/26.8%/28.1%/17.4%
    35,328    69    -0.00192  +0.0000  0.0015  1.287↓    0.0%  +0.429  1.63e-04  35.0%/20.1%/27.5%/17.4%
    35,840    70    -0.00183  +0.0003  0.0022  1.291↓    0.0%  -0.317  1.60e-04  27.9%/24.6%/28.7%/18.8%
    36,352    71    -0.00181  -0.0007  0.0015  1.305↓    0.0%  +0.223  1.57e-04  30.9%/31.8%/22.3%/15.0%
    36,864    72    -0.00186  -0.0015  0.0015  1.296↓    0.0%  -0.581  1.54e-04  25.6%/27.9%/27.5%/18.9%
    37,376    73    -0.00185  +0.0002  0.0019  1.290↓    0.0%  +0.290  1.50e-04  29.3%/26.0%/28.5%/16.2%
    37,888    74    -0.00182  -0.0004  0.0014  1.293↓    0.0%  -0.394  1.47e-04  31.6%/25.2%/25.6%/17.6%
    38,400    75    -0.00177  -0.0010  0.0015  1.298↓    0.0%  +0.116  1.44e-04  29.7%/25.2%/28.9%/16.2%
    38,912    76    -0.00164  -0.0008  0.0014  1.287↓    0.0%  -2.561  1.41e-04  28.5%/24.8%/27.7%/18.9%
    39,424    77    -0.00167  -0.0016  0.0017  1.300↓    0.0%  -0.007  1.38e-04  26.6%/28.9%/27.1%/17.4%
    39,936    78    -0.00159  +0.0005  0.0021  1.290↓    0.0%  -0.079  1.34e-04  28.3%/25.4%/28.3%/18.0%
    40,448    79    -0.00159  -0.0019  0.0016  1.305↓    0.0%  +0.149  1.31e-04  26.8%/28.1%/28.1%/17.0%
    40,960    80    -0.00162  +0.0001  0.0020  1.295↓    0.0%  +0.021  1.28e-04  29.7%/24.6%/27.9%/17.8%
    41,472    81    -0.00166  -0.0007  0.0015  1.287↓    0.0%  +0.396  1.25e-04  28.1%/27.5%/25.2%/19.1%
    41,984    82    -0.00161  +0.0009  0.0014  1.275↓    0.0%  +0.610  1.22e-04  33.0%/22.9%/26.4%/17.8%
    42,496    83    -0.00155  -0.0005  0.0011  1.284↓    0.0%  +0.633  1.19e-04  30.1%/25.6%/25.6%/18.8%
    43,008    84    -0.00152  -0.0014  0.0013  1.295↓    0.0%  +0.530  1.15e-04  26.8%/29.9%/26.0%/17.4%
    43,520    85    -0.00150  -0.0006  0.0011  1.297↓    0.0%  +0.484  1.12e-04  31.2%/29.3%/22.5%/17.0%
    44,032    86    -0.00151  +0.0002  0.0013  1.283↓    0.0%  +0.515  1.09e-04  30.3%/28.9%/21.1%/19.7%
    44,544    87    -0.00142  -0.0007  0.0010  1.291↓    0.0%  +0.530  1.06e-04  30.7%/24.6%/27.9%/16.8%
  ✓ Kontrolpunkts: checkpoints_Realistic Mode, OP - 0.0008 (Active)_DOGE\ckpt_step0044544.pth  [59% apmācības]
    45,056    88    -0.00139  +0.0006  0.0011  1.295↓    0.0%  +0.531  1.03e-04  28.7%/27.0%/25.6%/18.8%
    45,568    89    -0.00132  -0.0008  0.0012  1.279↓    0.0%  +0.584  1.00e-04  31.6%/25.0%/24.6%/18.8%
    46,080    90    -0.00131  +0.0004  0.0012  1.287↓    0.0%  +0.556  9.70e-05  31.1%/25.2%/24.6%/19.1%
    46,592    91    -0.00126  +0.0002  0.0008  1.286↓    0.0%  +0.635  9.40e-05  35.4%/22.5%/25.8%/16.4%
